bank_capital bank_loans bank_debts consumer_capital company_capital market_capital total_capital
75 1.75424e+06 5.67975e+06 259839 3.35036e+06 2.58035e+06 57291.6 7.74225e+06
76 1.88627e+06 5.7347e+06 259839 3.39123e+06 2.59443e+06 57297.5 7.92923e+06
77 2.01934e+06 5.7887e+06 259839 3.43216e+06 2.60749e+06 57305.8 8.11629e+06
78 2.15492e+06 5.84178e+06 259839 3.47317e+06 2.61955e+06 57317 8.30496e+06
79 2.29305e+06 5.8939e+06 259839 3.51418e+06 2.63072e+06 57254.7 8.49521e+06
80 2.43338e+06 5.94529e+06 259839 3.5554e+06 2.64074e+06 57412.3 8.68693e+06
81 2.57542e+06 5.99485e+06 259839 3.59544e+06 2.65028e+06 57398.2 8.87853e+06
82 2.7158e+06 6.04524e+06 259839 3.62938e+06 2.66636e+06 57751.6 9.06929e+06
83 2.84544e+06 6.09454e+06 259839 3.66888e+06 2.67621e+06 57701.3 9.24823e+06
84 2.97037e+06 6.14315e+06 259839 3.70852e+06 2.6853e+06 57587.3 9.42178e+06
85 3.09349e+06 6.19113e+06 259839 3.74953e+06 2.69224e+06 57606.2 9.59288e+06
86 3.22783e+06 6.23851e+06 259839 3.7903e+06 2.69888e+06 57584.7 9.77459e+06
87 3.36976e+06 6.28532e+06 259839 3.83123e+06 2.70466e+06 57681.3 9.96334e+06
88 3.51772e+06 6.33045e+06 259839 3.86853e+06 2.7126e+06 57572.3 1.01564e+07
89 3.665e+06 6.37522e+06 259839 3.89029e+06 2.73463e+06 58554.9 1.03485e+07
90 3.62551e+06 6.41471e+06 259839 3.91661e+06 2.74756e+06 58795.9 1.03485e+07
91 3.58502e+06 6.4552e+06 259839 3.95848e+06 2.7474e+06 57579.2 1.03485e+07
92 3.54361e+06 6.49661e+06 259839 3.99345e+06 2.7536e+06 57816 1.03485e+07
93 3.5029e+06 6.53732e+06 259839 4.03373e+06 2.75393e+06 57918.2 1.03485e+07
94 3.62331e+06 6.57773e+06 259839 4.07241e+06 2.75571e+06 57865.7 1.05093e+07
95 3.74277e+06 6.61787e+06 259839 4.10664e+06 2.76157e+06 57921.3 1.06689e+07
96 3.86487e+06 6.6577e+06 259839 4.14621e+06 2.76172e+06 58024.9 1.08308e+07
97 3.98565e+06 6.69603e+06 259839 4.17883e+06 2.7672e+06 58256.5 1.09899e+07
98 4.09195e+06 6.73462e+06 259839 4.21848e+06 2.76629e+06 58110.4 1.11348e+07
99 4.20142e+06 6.77181e+06 259839 4.24715e+06 2.77468e+06 58229.4 1.12815e+07
100 4.30359e+06 6.8093e+06 259839 4.29179e+06 2.76769e+06 58086.5 1.14212e+07
101 4.41991e+06 6.84647e+06 259839 4.32161e+06 2.77482e+06 58289.4 1.15746e+07
102 4.52301e+06 6.88384e+06 259839 4.36005e+06 2.77346e+06 58588.1 1.17151e+07
103 4.48592e+06 6.92093e+06 259839 4.39654e+06 2.7745e+06 58154.7 1.17151e+07
104 4.45022e+06 6.95663e+06 259839 4.41334e+06 2.79263e+06 58914.5 1.17151e+07
105 4.41438e+06 6.99247e+06 259839 4.44863e+06 2.7933e+06 58797 1.17151e+07
106 4.37859e+06 7.02826e+06 259839 4.49238e+06 2.78575e+06 58378.8 1.17151e+07
107 4.34517e+06 7.06168e+06 259839 4.52958e+06 2.782e+06 58354.5 1.17151e+07
108 4.31244e+06 7.0944e+06 259839 4.54519e+06 2.79828e+06 59192.6 1.17151e+07
109 4.27942e+06 7.12743e+06 259839 4.58507e+06 2.79167e+06 58941.4 1.17151e+07
110 4.24718e+06 7.15966e+06 259839 4.62836e+06 2.78129e+06 58271.4 1.17151e+07
111 4.21432e+06 7.19253e+06 259839 4.66427e+06 2.77789e+06 58621.6 1.17151e+07
112 4.18347e+06 7.22338e+06 259839 4.69655e+06 2.77638e+06 58705.2 1.17151e+07
113 4.15032e+06 7.25652e+06 259839 4.73255e+06 2.77359e+06 58636.8 1.17151e+07
114 4.11838e+06 7.28846e+06 259839 4.76871e+06 2.76942e+06 58587.5 1.17151e+07
115 4.08587e+06 7.32098e+06 259839 4.79279e+06 2.77735e+06 59096.1 1.17151e+07
116 4.05413e+06 7.35272e+06 259839 4.83463e+06 2.7676e+06 58744.5 1.17151e+07
117 4.02153e+06 7.38531e+06 259839 4.87601e+06 2.75901e+06 58553.8 1.17151e+07
118 3.99097e+06 7.41588e+06 259839 4.90707e+06 2.75821e+06 58858.4 1.17151e+07
119 3.95961e+06 7.44724e+06 259839 4.9499e+06 2.74694e+06 58649.7 1.17151e+07
120 3.929e+06 7.47784e+06 259839 4.9803e+06 2.74715e+06 58654.2 1.17151e+07
121 3.90584e+06 7.50101e+06 259839 4.57437e+06 3.15676e+06 78140.3 1.17151e+07
122 3.88247e+06 7.52437e+06 259839 4.61452e+06 3.15849e+06 59614.8 1.17151e+07
123 3.85828e+06 7.54857e+06 259839 4.66175e+06 3.13696e+06 58107.2 1.17151e+07
124 3.83329e+06 7.57355e+06 259839 4.70938e+06 3.11408e+06 58342.8 1.17151e+07
125 3.80748e+06 7.59936e+06 259839 4.75792e+06 3.09128e+06 58421.1 1.17151e+07
126 3.93226e+06 7.62605e+06 259839 4.80755e+06 3.06832e+06 58432.5 1.18666e+07
127 4.0491e+06 7.65334e+06 259839 4.84569e+06 3.05708e+06 58827.8 1.20107e+07
128 4.15031e+06 7.6799e+06 259839 4.86931e+06 3.05996e+06 58889.8 1.21385e+07
129 4.2424e+06 7.70571e+06 259839 4.88587e+06 3.06946e+06 58633.8 1.22564e+07
130 4.33458e+06 7.73075e+06 259839 4.90193e+06 3.07845e+06 58624.7 1.23736e+07
131 4.4439e+06 7.75505e+06 259839 4.91745e+06 3.08722e+06 58636.4 1.25072e+07
132 4.56369e+06 7.7786e+06 259839 4.93248e+06 3.09574e+06 58647.1 1.26505e+07
133 4.68429e+06 7.80142e+06 259839 4.94703e+06 3.10399e+06 58656.6 1.2794e+07
134 4.8057e+06 7.82352e+06 259839 4.96112e+06 3.11198e+06 58665.4 1.29375e+07
135 4.9279e+06 7.84488e+06 259839 4.97476e+06 3.1197e+06 58674 1.3081e+07
136 5.05087e+06 7.86554e+06 259839 4.98795e+06 3.12716e+06 58682.5 1.32247e+07
137 5.17458e+06 7.88548e+06 259839 5.0007e+06 3.13434e+06 58691 1.33683e+07
138 5.29904e+06 7.90472e+06 259839 5.01301e+06 3.14126e+06 58699.5 1.3512e+07
139 5.42421e+06 7.92326e+06 259839 5.02489e+06 3.14792e+06 58708 1.36557e+07
140 5.55008e+06 7.94111e+06 259839 5.03633e+06 3.15432e+06 58716.7 1.37994e+07
141 5.68342e+06 7.95148e+06 259839 4.6641e+06 3.5214e+06 74231.3 1.39432e+07
142 5.67089e+06 7.96401e+06 259839 4.69334e+06 3.51902e+06 59913.4 1.39432e+07
143 5.65744e+06 7.97746e+06 259839 4.73937e+06 3.4877e+06 58643.4 1.39432e+07
144 5.64263e+06 7.99228e+06 259839 4.78906e+06 3.45282e+06 58660.7 1.39432e+07
145 5.62682e+06 8.00809e+06 259839 4.83931e+06 3.41833e+06 58708.2 1.39432e+07
146 5.75421e+06 8.02319e+06 259839 4.85488e+06 3.41785e+06 58719.9 1.40857e+07
147 5.87799e+06 8.03761e+06 259839 4.86431e+06 3.42266e+06 58898.6 1.42239e+07
148 5.99587e+06 8.05135e+06 259839 4.87235e+06 3.42845e+06 58809.3 1.43555e+07
149 6.114e+06 8.06441e+06 259839 4.88026e+06 3.43361e+06 58792.6 1.44867e+07
150 6.23258e+06 8.0768e+06 259839 4.88788e+06 3.43838e+06 58792 1.46176e+07
151 6.3583e+06 8.08852e+06 259839 4.89514e+06 3.44284e+06 58796.5 1.47551e+07
152 6.48457e+06 8.09958e+06 259839 4.90203e+06 3.44701e+06 58803.1 1.48924e+07
153 6.61139e+06 8.10999e+06 259839 4.90854e+06 3.4509e+06 58810.5 1.50296e+07
154 6.73873e+06 8.11976e+06 259839 4.91467e+06 3.45453e+06 58818.3 1.51667e+07
155 6.86657e+06 8.12889e+06 259839 4.92043e+06 3.45789e+06 58826.3 1.53037e+07
156 6.99491e+06 8.13739e+06 259839 4.92581e+06 3.46101e+06 58834.5 1.54406e+07
157 7.12373e+06 8.14527e+06 259839 4.93082e+06 3.46386e+06 58842.6 1.55773e+07
158 7.25301e+06 8.15253e+06 259839 4.93546e+06 3.46647e+06 58850.9 1.57138e+07
159 7.38275e+06 8.15918e+06 259839 4.93974e+06 3.46884e+06 58859.1 1.58502e+07
160 7.51291e+06 8.16522e+06 259839 4.94366e+06 3.47095e+06 58867.3 1.59864e+07
161 7.62425e+06 8.18992e+06 259839 5.85805e+06 2.61307e+06 27053.1 1.61224e+07
162 7.74777e+06 8.20226e+06 259839 5.66634e+06 2.78268e+06 61493.9 1.62583e+07
163 7.73539e+06 8.21464e+06 259839 5.61872e+06 2.84359e+06 60575.2 1.62583e+07
164 7.72653e+06 8.2235e+06 259839 5.57899e+06 2.89335e+06 59417.5 1.62583e+07
165 7.7205e+06 8.22953e+06 259839 5.53603e+06 2.94245e+06 59306.4 1.62583e+07
166 7.71633e+06 8.2337e+06 259839 5.5002e+06 2.98249e+06 59259.9 1.62583e+07
167 7.87456e+06 8.23574e+06 259839 5.47653e+06 3.00827e+06 59195.3 1.64186e+07
168 8.02206e+06 8.2373e+06 259839 5.47576e+06 3.01058e+06 59217.9 1.65676e+07
169 8.16775e+06 8.2384e+06 259839 5.4767e+06 3.0107e+06 59258.9 1.67144e+07
170 8.30714e+06 8.23904e+06 259839 5.47738e+06 3.01065e+06 59267 1.68544e+07
171 8.43758e+06 8.23923e+06 259839 5.47778e+06 3.01043e+06 59274.6 1.69851e+07
172 8.56553e+06 8.23923e+06 259839 5.4779e+06 3.0103e+06 59282.9 1.7113e+07
173 8.69323e+06 8.23923e+06 259839 5.47789e+06 3.0103e+06 59297.4 1.72407e+07
174 8.82066e+06 8.23923e+06 259839 5.47788e+06 3.01029e+06 59316.2 1.73681e+07
175 8.94783e+06 8.23923e+06 259839 5.47786e+06 3.01029e+06 59334.7 1.74953e+07
176 9.07473e+06 8.23923e+06 259839 5.47785e+06 3.01028e+06 59352.8 1.76222e+07
177 9.20135e+06 8.23923e+06 259839 5.47783e+06 3.01028e+06 59370.7 1.77488e+07
178 9.32769e+06 8.23923e+06 259839 5.47782e+06 3.01028e+06 59388.4 1.78752e+07
179 9.45374e+06 8.23923e+06 259839 5.4778e+06 3.01028e+06 59405.8 1.80012e+07
180 9.57951e+06 8.23923e+06 259839 5.47779e+06 3.01028e+06 59423 1.8127e+07
181 9.70497e+06 8.23923e+06 259839 5.47777e+06 3.01027e+06 59439.9 1.82525e+07
182 9.83014e+06 8.23923e+06 259839 5.47776e+06 3.01027e+06 59456.7 1.83776e+07
183 9.955e+06 8.23923e+06 259839 5.47774e+06 3.01027e+06 59473.3 1.85025e+07
184 1.00795e+07 8.23923e+06 259839 5.47773e+06 3.01027e+06 59489.6 1.8627e+07
185 1.02038e+07 8.23923e+06 259839 5.47771e+06 3.01027e+06 59505.7 1.87513e+07
186 1.03277e+07 8.23923e+06 259839 5.4777e+06 3.01026e+06 59521.7 1.88752e+07
187 1.04513e+07 8.23923e+06 259839 5.47769e+06 3.01026e+06 59537.4 1.89988e+07
188 1.05746e+07 8.23923e+06 259839 5.47767e+06 3.01026e+06 59553 1.91221e+07
189 1.06975e+07 8.23923e+06 259839 5.47766e+06 3.01026e+06 59568.3 1.9245e+07
190 1.08201e+07 8.23923e+06 259839 5.47764e+06 3.01026e+06 59583.5 1.93676e+07
