bank_capital bank_loans bank_debts consumer_capital company_capital market_capital total_capital
290 2.10319e+07 8.23923e+06 259839 5.47683e+06 3.01015e+06 60506 2.95794e+07
291 2.11124e+07 8.23923e+06 259839 5.47683e+06 3.01015e+06 60511.4 2.96599e+07
292 2.11924e+07 8.23923e+06 259839 5.47682e+06 3.01015e+06 60516.8 2.97399e+07
293 2.12721e+07 8.23923e+06 259839 5.47682e+06 3.01014e+06 60522.1 2.98195e+07
294 2.13513e+07 8.23923e+06 259839 5.47681e+06 3.01014e+06 60527.4 2.98988e+07
295 2.14301e+07 8.23923e+06 259839 5.47681e+06 3.01014e+06 60532.7 2.99776e+07
296 2.15085e+07 8.23923e+06 259839 5.4768e+06 3.01014e+06 60537.9 3.00559e+07
297 2.15864e+07 8.23923e+06 259839 5.4768e+06 3.01014e+06 60543 3.01339e+07
298 2.1664e+07 8.23923e+06 259839 5.4768e+06 3.01014e+06 60548.2 3.02115e+07
299 2.17411e+07 8.23923e+06 259839 5.47679e+06 3.01014e+06 60553.2 3.02886e+07
300 2.18179e+07 8.23923e+06 259839 5.47679e+06 3.01014e+06 60558.3 3.03654e+07
301 2.18942e+07 8.23923e+06 259839 5.47678e+06 3.01014e+06 60563.2 3.04417e+07
302 2.19702e+07 8.23923e+06 259839 5.47678e+06 3.01014e+06 60568.2 3.05176e+07
303 2.20457e+07 8.23923e+06 259839 5.47677e+06 3.01014e+06 60573.1 3.05932e+07
304 2.21208e+07 8.23923e+06 259839 5.47677e+06 3.01014e+06 60577.9 3.06683e+07
305 2.21955e+07 8.23923e+06 259839 5.47676e+06 3.01014e+06 60582.7 3.0743e+07
306 2.22698e+07 8.23923e+06 259839 5.47676e+06 3.01014e+06 60587.5 3.08173e+07
307 2.23438e+07 8.23923e+06 259839 5.47676e+06 3.01014e+06 60592.2 3.08912e+07
308 2.24173e+07 8.23923e+06 259839 5.47675e+06 3.01014e+06 60596.9 3.09648e+07
309 2.24904e+07 8.23923e+06 259839 5.47675e+06 3.01013e+06 60601.6 3.10379e+07
310 2.25631e+07 8.23923e+06 259839 5.47674e+06 3.01013e+06 60606.2 3.11106e+07
311 2.26354e+07 8.23923e+06 259839 5.47674e+06 3.01013e+06 60610.7 3.11829e+07
312 2.27074e+07 8.23923e+06 259839 5.47674e+06 3.01013e+06 60615.3 3.12548e+07
313 2.27789e+07 8.23923e+06 259839 5.47673e+06 3.01013e+06 60619.7 3.13264e+07
314 2.285e+07 8.23923e+06 259839 5.47673e+06 3.01013e+06 60624.2 3.13975e+07
315 2.29208e+07 8.23923e+06 259839 5.47672e+06 3.01013e+06 60628.6 3.14683e+07
316 2.29912e+07 8.23923e+06 259839 5.47672e+06 3.01013e+06 60633 3.15387e+07
317 2.30612e+07 8.23923e+06 259839 5.47672e+06 3.01013e+06 60637.3 3.16086e+07
318 2.31307e+07 8.23923e+06 259839 5.47671e+06 3.01013e+06 60641.6 3.16782e+07
319 2.32e+07 8.23923e+06 259839 5.47671e+06 3.01013e+06 60645.9 3.17474e+07
320 2.32688e+07 8.23923e+06 259839 5.47671e+06 3.01013e+06 60650.1 3.18163e+07
321 2.33372e+07 8.23923e+06 259839 5.4767e+06 3.01013e+06 60654.3 3.18847e+07
322 2.34053e+07 8.23923e+06 259839 5.4767e+06 3.01013e+06 60658.5 3.19528e+07
323 2.3473e+07 8.23923e+06 259839 5.47669e+06 3.01013e+06 60662.6 3.20204e+07
324 2.35403e+07 8.23923e+06 259839 5.47669e+06 3.01013e+06 60666.7 3.20877e+07
325 2.36072e+07 8.23923e+06 259839 5.47669e+06 3.01013e+06 60670.8 3.21547e+07
326 2.36737e+07 8.23923e+06 259839 5.47668e+06 3.01013e+06 60674.8 3.22212e+07
327 2.37399e+07 8.23923e+06 259839 5.47668e+06 3.01013e+06 60678.8 3.22874e+07
328 2.38057e+07 8.23923e+06 259839 5.47668e+06 3.01012e+06 60682.7 3.23532e+07
329 2.38712e+07 8.23923e+06 259839 5.47667e+06 3.01012e+06 60686.7 3.24186e+07
330 2.39362e+07 8.23923e+06 259839 5.47667e+06 3.01012e+06 60690.5 3.24837e+07
331 2.40009e+07 8.23923e+06 259839 5.47667e+06 3.01012e+06 60694.4 3.25484e+07
332 2.40652e+07 8.23923e+06 259839 5.47666e+06 3.01012e+06 60698.2 3.26127e+07
333 2.41292e+07 8.23923e+06 259839 5.47666e+06 3.01012e+06 60702 3.26767e+07
334 2.41928e+07 8.23923e+06 259839 5.47666e+06 3.01012e+06 60705.8 3.27403e+07
335 2.4256e+07 8.23923e+06 259839 5.47665e+06 3.01012e+06 60709.5 3.28035e+07
336 2.43189e+07 8.23923e+06 259839 5.47665e+06 3.01012e+06 60713.2 3.28664e+07
337 2.43814e+07 8.23923e+06 259839 5.47665e+06 3.01012e+06 60716.9 3.29289e+07
338 2.44436e+07 8.23923e+06 259839 5.47664e+06 3.01012e+06 60720.5 3.29911e+07
339 2.45054e+07 8.23923e+06 259839 5.47664e+06 3.01012e+06 60724.1 3.30529e+07
340 2.45668e+07 8.23923e+06 259839 5.47664e+06 3.01012e+06 60727.7 3.31143e+07
341 2.46279e+07 8.23923e+06 259839 5.47663e+06 3.01012e+06 60731.3 3.31754e+07
342 2.46886e+07 8.23923e+06 259839 5.47663e+06 3.01012e+06 60734.8 3.32361e+07
343 2.4749e+07 8.23923e+06 259839 5.47663e+06 3.01012e+06 60738.3 3.32965e+07
344 2.48091e+07 8.23923e+06 259839 5.47663e+06 3.01012e+06 60741.8 3.33565e+07
345 2.48687e+07 8.23923e+06 259839 5.47662e+06 3.01012e+06 60745.2 3.34162e+07
346 2.49281e+07 8.23923e+06 259839 5.47662e+06 3.01012e+06 60748.6 3.34756e+07
347 2.49871e+07 8.23923e+06 259839 5.47662e+06 3.01012e+06 60752 3.35346e+07
348 2.50457e+07 8.23923e+06 259839 5.47661e+06 3.01012e+06 60755.4 3.35932e+07
349 2.5104e+07 8.23923e+06 259839 5.47661e+06 3.01012e+06 60758.7 3.36515e+07
350 2.5162e+07 8.23923e+06 259839 5.47661e+06 3.01011e+06 60762 3.37095e+07
351 2.52196e+07 8.23923e+06 259839 5.47661e+06 3.01011e+06 60765.3 3.37671e+07
352 2.52769e+07 8.23923e+06 259839 5.4766e+06 3.01011e+06 60768.5 3.38244e+07
353 2.53339e+07 8.23923e+06 259839 5.4766e+06 3.01011e+06 60771.7 3.38814e+07
354 2.53905e+07 8.23923e+06 259839 5.4766e+06 3.01011e+06 60774.9 3.3938e+07
355 2.54468e+07 8.23923e+06 259839 5.47659e+06 3.01011e+06 60778.1 3.39943e+07
356 2.55028e+07 8.23923e+06 259839 5.47659e+06 3.01011e+06 60781.2 3.40502e+07
357 2.55584e+07 8.23923e+06 259839 5.47659e+06 3.01011e+06 60784.4 3.41059e+07
358 2.56137e+07 8.23923e+06 259839 5.47659e+06 3.01011e+06 60787.4 3.41612e+07
359 2.56686e+07 8.23923e+06 259839 5.47658e+06 3.01011e+06 60790.5 3.42161e+07
360 2.57233e+07 8.23923e+06 259839 5.47658e+06 3.01011e+06 60793.6 3.42708e+07
361 2.57776e+07 8.23923e+06 259839 5.47658e+06 3.01011e+06 60796.6 3.43251e+07
362 2.58316e+07 8.23923e+06 259839 5.47658e+06 3.01011e+06 60799.6 3.43791e+07
363 2.58853e+07 8.23923e+06 259839 5.47657e+06 3.01011e+06 60802.5 3.44328e+07
364 2.59386e+07 8.23923e+06 259839 5.47657e+06 3.01011e+06 60805.5 3.44861e+07
365 2.59917e+07 8.23923e+06 259839 5.47657e+06 3.01011e+06 60808.4 3.45392e+07
366 2.60444e+07 8.23923e+06 259839 5.47656e+06 3.01011e+06 60811.3 3.45919e+07
367 2.60968e+07 8.23923e+06 259839 5.47656e+06 3.01011e+06 60814.2 3.46443e+07
368 2.61489e+07 8.23923e+06 259839 5.47656e+06 3.01011e+06 60817.1 3.46964e+07
369 2.62007e+07 8.23923e+06 259839 5.47656e+06 3.01011e+06 60819.9 3.47482e+07
370 2.62521e+07 8.23923e+06 259839 5.47655e+06 3.01011e+06 60822.7 3.47996e+07
371 2.63033e+07 8.23923e+06 259839 5.47655e+06 3.01011e+06 60825.5 3.48508e+07
372 2.63541e+07 8.23923e+06 259839 5.47655e+06 3.01011e+06 60828.3 3.49016e+07
373 2.64047e+07 8.23923e+06 259839 5.47655e+06 3.01011e+06 60831 3.49522e+07
374 2.64549e+07 8.23923e+06 259839 5.47655e+06 3.01011e+06 60833.7 3.50024e+07
375 2.65049e+07 8.23923e+06 259839 5.47654e+06 3.01011e+06 60836.4 3.50523e+07
376 2.65545e+07 8.23923e+06 259839 5.47654e+06 3.01011e+06 60839.1 3.5102e+07
377 2.66038e+07 8.23923e+06 259839 5.47654e+06 3.0101e+06 60841.8 3.51513e+07
378 2.66529e+07 8.23923e+06 259839 5.47654e+06 3.0101e+06 60844.4 3.52003e+07
379 2.67016e+07 8.23923e+06 259839 5.47653e+06 3.0101e+06 60847 3.52491e+07
380 2.675e+07 8.23923e+06 259839 5.47653e+06 3.0101e+06 60849.6 3.52975e+07
381 2.67982e+07 8.23923e+06 259839 5.47653e+06 3.0101e+06 60852.2 3.53457e+07
382 2.6846e+07 8.23923e+06 259839 5.47653e+06 3.0101e+06 60854.7 3.53935e+07
383 2.68936e+07 8.23923e+06 259839 5.47652e+06 3.0101e+06 60857.3 3.54411e+07
384 2.69408e+07 8.23923e+06 259839 5.47652e+06 3.0101e+06 60859.8 3.54883e+07
385 2.69878e+07 8.23923e+06 259839 5.47652e+06 3.0101e+06 60862.3 3.55353e+07
386 2.70345e+07 8.23923e+06 259839 5.47652e+06 3.0101e+06 60864.8 3.5582e+07
387 2.70809e+07 8.23923e+06 259839 5.47652e+06 3.0101e+06 60867.2 3.56284e+07
388 2.7127e+07 8.23923e+06 259839 5.47651e+06 3.0101e+06 60869.7 3.56745e+07
389 2.71729e+07 8.23923e+06 259839 5.47651e+06 3.0101e+06 60872.1 3.57204e+07
390 2.72184e+07 8.23923e+06 259839 5.47651e+06 3.0101e+06 60874.5 3.57659e+07
391 2.72637e+07 8.23923e+06 259839 5.47651e+06 3.0101e+06 60876.9 3.58112e+07
392 2.73087e+07 8.23923e+06 259839 5.47651e+06 3.0101e+06 60879.2 3.58562e+07
393 2.73534e+07 8.23923e+06 259839 5.4765e+06 3.0101e+06 60881.6 3.59009e+07
394 2.73979e+07 8.23923e+06 259839 5.4765e+06 3.0101e+06 60883.9 3.59454e+07
395 2.74421e+07 8.23923e+06 259839 5.4765e+06 3.0101e+06 60886.2 3.59895e+07
396 2.7486e+07 8.23923e+06 259839 5.4765e+06 3.0101e+06 60888.5 3.60334e+07
397 2.75296e+07 8.23923e+06 259839 5.4765e+06 3.0101e+06 60890.8 3.60771e+07
398 2.75729e+07 8.23923e+06 259839 5.47649e+06 3.0101e+06 60893 3.61204e+07
399 2.7616e+07 8.23923e+06 259839 5.47649e+06 3.0101e+06 60895.3 3.61635e+07
400 2.76588e+07 8.23923e+06 259839 5.47649e+06 3.0101e+06 60897.5 3.62063e+07
401 2.77014e+07 8.23923e+06 259839 5.47649e+06 3.0101e+06 60899.7 3.62489e+07
402 2.77437e+07 8.23923e+06 259839 5.47649e+06 3.0101e+06 60901.9 3.62912e+07
403 2.77857e+07 8.23923e+06 259839 5.47648e+06 3.0101e+06 60904 3.63332e+07
404 2.78275e+07 8.23923e+06 259839 5.47648e+06 3.0101e+06 60906.2 3.6375e+07
405 2.7869e+07 8.23923e+06 259839 5.47648e+06 3.0101e+06 60908.3 3.64165e+07
406 2.79102e+07 8.23923e+06 259839 5.47648e+06 3.0101e+06 60910.4 3.64577e+07
407 2.79512e+07 8.23923e+06 259839 5.47648e+06 3.0101e+06 60912.5 3.64987e+07
408 2.79919e+07 8.23923e+06 259839 5.47647e+06 3.0101e+06 60914.6 3.65394e+07
409 2.80324e+07 8.23923e+06 259839 5.47647e+06 3.0101e+06 60916.7 3.65799e+07
410 2.80726e+07 8.23923e+06 259839 5.47647e+06 3.01009e+06 60918.8 3.66201e+07
411 2.81126e+07 8.23923e+06 259839 5.47647e+06 3.01009e+06 60920.8 3.66601e+07
412 2.81523e+07 8.23923e+06 259839 5.47647e+06 3.01009e+06 60922.8 3.66998e+07
413 2.81918e+07 8.23923e+06 259839 5.47647e+06 3.01009e+06 60924.8 3.67393e+07
414 2.8231e+07 8.23923e+06 259839 5.47646e+06 3.01009e+06 60926.8 3.67785e+07
415 2.827e+07 8.23923e+06 259839 5.47646e+06 3.01009e+06 60928.8 3.68175e+07
416 2.83087e+07 8.23923e+06 259839 5.47646e+06 3.01009e+06 60930.8 3.68562e+07
417 2.83472e+07 8.23923e+06 259839 5.47646e+06 3.01009e+06 60932.7 3.68947e+07
418 2.83855e+07 8.23923e+06 259839 5.47646e+06 3.01009e+06 60934.6 3.69329e+07
419 2.84235e+07 8.23923e+06 259839 5.47646e+06 3.01009e+06 60936.6 3.69709e+07
420 2.84612e+07 8.23923e+06 259839 5.47645e+06 3.01009e+06 60938.5 3.70087e+07
421 2.84987e+07 8.23923e+06 259839 5.47645e+06 3.01009e+06 60940.3 3.70462e+07
422 2.8536e+07 8.23923e+06 259839 5.47645e+06 3.01009e+06 60942.2 3.70835e+07
423 2.85731e+07 8.23923e+06 259839 5.47645e+06 3.01009e+06 60944.1 3.71206e+07
424 2.86099e+07 8.23923e+06 259839 5.47645e+06 3.01009e+06 60945.9 3.71574e+07
425 2.86465e+07 8.23923e+06 259839 5.47645e+06 3.01009e+06 60947.8 3.7194e+07
426 2.86828e+07 8.23923e+06 259839 5.47644e+06 3.01009e+06 60949.6 3.72303e+07
427 2.8719e+07 8.23923e+06 259839 5.47644e+06 3.01009e+06 60951.4 3.72664e+07
428 2.87548e+07 8.23923e+06 259839 5.47644e+06 3.01009e+06 60953.2 3.73023e+07
429 2.87905e+07 8.23923e+06 259839 5.47644e+06 3.01009e+06 60954.9 3.7338e+07
430 2.88259e+07 8.23923e+06 259839 5.47644e+06 3.01009e+06 60956.7 3.73734e+07
431 2.88612e+07 8.23923e+06 259839 5.47644e+06 3.01009e+06 60958.5 3.74086e+07
432 2.88961e+07 8.23923e+06 259839 5.47643e+06 3.01009e+06 60960.2 3.74436e+07
433 2.89309e+07 8.23923e+06 259839 5.47643e+06 3.01009e+06 60961.9 3.74784e+07
434 2.89654e+07 8.23923e+06 259839 5.47643e+06 3.01009e+06 60963.6 3.75129e+07
435 2.89998e+07 8.23923e+06 259839 5.47643e+06 3.01009e+06 60965.3 3.75472e+07
436 2.90339e+07 8.23923e+06 259839 5.47643e+06 3.01009e+06 60967 3.75813e+07
437 2.90677e+07 8.23923e+06 259839 5.47643e+06 3.01009e+06 60968.7 3.76152e+07
438 2.91014e+07 8.23923e+06 259839 5.47643e+06 3.01009e+06 60970.3 3.76489e+07
439 2.91349e+07 8.23923e+06 259839 5.47642e+06 3.01009e+06 60972 3.76823e+07
440 2.91681e+07 8.23923e+06 259839 5.47642e+06 3.01009e+06 60973.6 3.77156e+07
441 2.92011e+07 8.23923e+06 259839 5.47642e+06 3.01009e+06 60975.3 3.77486e+07
442 2.92339e+07 8.23923e+06 259839 5.47642e+06 3.01009e+06 60976.9 3.77814e+07
443 2.92665e+07 8.23923e+06 259839 5.47642e+06 3.01009e+06 60978.5 3.7814e+07
444 2.92989e+07 8.23923e+06 259839 5.47642e+06 3.01009e+06 60980 3.78464e+07
445 2.93311e+07 8.23923e+06 259839 5.47642e+06 3.01009e+06 60981.6 3.78786e+07
446 2.93631e+07 8.23923e+06 259839 5.47641e+06 3.01009e+06 60983.2 3.79106e+07
447 2.93948e+07 8.23923e+06 259839 5.47641e+06 3.01009e+06 60984.7 3.79423e+07
448 2.94264e+07 8.23923e+06 259839 5.47641e+06 3.01009e+06 60986.3 3.79739e+07
449 2.94578e+07 8.23923e+06 259839 5.47641e+06 3.01009e+06 60987.8 3.80053e+07
450 2.94889e+07 8.23923e+06 259839 5.47641e+06 3.01009e+06 60989.3 3.80364e+07
451 2.95199e+07 8.23923e+06 259839 5.47641e+06 3.01009e+06 60990.8 3.80674e+07
452 2.95506e+07 8.23923e+06 259839 5.47641e+06 3.01009e+06 60992.3 3.80981e+07
453 2.95812e+07 8.23923e+06 259839 5.47641e+06 3.01009e+06 60993.8 3.81287e+07
454 2.96116e+07 8.23923e+06 259839 5.4764e+06 3.01009e+06 60995.3 3.81591e+07
455 2.96417e+07 8.23923e+06 259839 5.4764e+06 3.01008e+06 60996.7 3.81892e+07
456 2.96717e+07 8.23923e+06 259839 5.4764e+06 3.01008e+06 60998.2 3.82192e+07
457 2.97015e+07 8.23923e+06 259839 5.4764e+06 3.01008e+06 60999.6 3.8249e+07
458 2.97311e+07 8.23923e+06 259839 5.4764e+06 3.01008e+06 61001 3.82785e+07
459 2.97605e+07 8.23923e+06 259839 5.4764e+06 3.01008e+06 61002.5 3.83079e+07
460 2.97897e+07 8.23923e+06 259839 5.4764e+06 3.01008e+06 61003.9 3.83371e+07
461 2.98187e+07 8.23923e+06 259839 5.4764e+06 3.01008e+06 61005.3 3.83662e+07
462 2.98475e+07 8.23923e+06 259839 5.47639e+06 3.01008e+06 61006.6 3.8395e+07
463 2.98761e+07 8.23923e+06 259839 5.47639e+06 3.01008e+06 61008 3.84236e+07
464 2.99046e+07 8.23923e+06 259839 5.47639e+06 3.01008e+06 61009.4 3.84521e+07
465 2.99328e+07 8.23923e+06 259839 5.47639e+06 3.01008e+06 61010.7 3.84803e+07
466 2.99609e+07 8.23923e+06 259839 5.47639e+06 3.01008e+06 61012.1 3.85084e+07
467 2.99888e+07 8.23923e+06 259839 5.47639e+06 3.01008e+06 61013.4 3.85363e+07
468 3.00165e+07 8.23923e+06 259839 5.47639e+06 3.01008e+06 61014.7 3.8564e+07
469 3.00441e+07 8.23923e+06 259839 5.47639e+06 3.01008e+06 61016 3.85915e+07
470 3.00714e+07 8.23923e+06 259839 5.47639e+06 3.01008e+06 61017.4 3.86189e+07
471 3.00986e+07 8.23923e+06 259839 5.47638e+06 3.01008e+06 61018.6 3.86461e+07
472 3.01256e+07 8.23923e+06 259839 5.47638e+06 3.01008e+06 61019.9 3.86731e+07
473 3.01524e+07 8.23923e+06 259839 5.47638e+06 3.01008e+06 61021.2 3.86999e+07
474 3.01791e+07 8.23923e+06 259839 5.47638e+06 3.01008e+06 61022.5 3.87265e+07
475 3.02055e+07 8.23923e+06 259839 5.47638e+06 3.01008e+06 61023.7 3.8753e+07
476 3.02318e+07 8.23923e+06 259839 5.47638e+06 3.01008e+06 61025 3.87793e+07
477 3.0258e+07 8.23923e+06 259839 5.47638e+06 3.01008e+06 61026.2 3.88054e+07
478 3.02839e+07 8.23923e+06 259839 5.47638e+06 3.01008e+06 61027.4 3.88314e+07
479 3.03097e+07 8.23923e+06 259839 5.47638e+06 3.01008e+06 61028.7 3.88572e+07
480 3.03353e+07 8.23923e+06 259839 5.47637e+06 3.01008e+06 61029.9 3.88828e+07
481 3.03608e+07 8.23923e+06 259839 5.47637e+06 3.01008e+06 61031.1 3.89083e+07
482 3.03861e+07 8.23923e+06 259839 5.47637e+06 3.01008e+06 61032.3 3.89335e+07
483 3.04112e+07 8.23923e+06 259839 5.47637e+06 3.01008e+06 61033.5 3.89587e+07
484 3.04361e+07 8.23923e+06 259839 5.47637e+06 3.01008e+06 61034.6 3.89836e+07
485 3.04609e+07 8.23923e+06 259839 5.47637e+06 3.01008e+06 61035.8 3.90084e+07
486 3.04855e+07 8.23923e+06 259839 5.47637e+06 3.01008e+06 61037 3.9033e+07
487 3.051e+07 8.23923e+06 259839 5.47637e+06 3.01008e+06 61038.1 3.90575e+07
488 3.05343e+07 8.23923e+06 259839 5.47637e+06 3.01008e+06 61039.3 3.90818e+07
489 3.05584e+07 8.23923e+06 259839 5.47637e+06 3.01008e+06 61040.4 3.91059e+07
490 3.05824e+07 8.23923e+06 259839 5.47636e+06 3.01008e+06 61041.5 3.91299e+07
491 3.06062e+07 8.23923e+06 259839 5.47636e+06 3.01008e+06 61042.6 3.91537e+07
492 3.06299e+07 8.23923e+06 259839 5.47636e+06 3.01008e+06 61043.7 3.91774e+07
493 3.06534e+07 8.23923e+06 259839 5.47636e+06 3.01008e+06 61044.8 3.92009e+07
494 3.06768e+07 8.23923e+06 259839 5.47636e+06 3.01008e+06 61045.9 3.92243e+07
495 3.07e+07 8.23923e+06 259839 5.47636e+06 3.01008e+06 61047 3.92475e+07
496 3.0723e+07 8.23923e+06 259839 5.47636e+06 3.01008e+06 61048.1 3.92705e+07
497 3.07459e+07 8.23923e+06 259839 5.47636e+06 3.01008e+06 61049.2 3.92934e+07
498 3.07687e+07 8.23923e+06 259839 5.47636e+06 3.01008e+06 61050.2 3.93161e+07
499 3.07912e+07 8.23923e+06 259839 5.47636e+06 3.01008e+06 61051.3 3.93387e+07
