#time1 gdp2 growth3 demand4 wages5 price6 employed7 company_capital8 consumer_capital9 interest_rate10 investments11 market_capital12 bank_capital13 total_capital14
959 15896.6 0.00204572 1487.89 19845.2 4628.06 824 7.13068e+07 3.20312e+07 277.5 9.91331e+06 728391 -2.8604e+08 -1.82875e+08
958 15864.1 0.00266538 1487.89 19799.6 4596.69 825 7.06769e+07 3.17604e+07 285 9.81853e+06 724195 -2.83477e+08 -1.81234e+08
957 15822 0.00237179 1487.89 19581.9 4567.79 824 7.00004e+07 3.15189e+07 277.5 9.72025e+06 712631 -2.81004e+08 -1.79651e+08
956 15784.5 0.00231477 1487.89 19320.9 4538.26 824 6.94836e+07 3.11572e+07 285 9.63019e+06 714674 -2.78485e+08 -1.78037e+08
955 15748.1 0.00225483 1487.89 19109.8 4508.29 824 6.88815e+07 3.08519e+07 277.5 9.53052e+06 700306 -2.76054e+08 -1.76479e+08
954 15712.6 0.00238037 1487.89 19070.4 4479.1 824 6.83109e+07 3.05638e+07 285 9.44195e+06 693066 -2.73579e+08 -1.74893e+08
953 15675.3 0.00246889 1487.89 18933.5 4449.67 824 6.75707e+07 3.04226e+07 277.5 9.35321e+06 690986 -2.71192e+08 -1.73364e+08
952 15636.7 0.0021418 1487.89 18894.1 4421.64 824 6.70844e+07 3.00521e+07 285 9.26333e+06 687487 -2.6876e+08 -1.71806e+08
951 15603.3 0.00214123 1487.89 18850.1 4391.62 824 6.63673e+07 2.98994e+07 277.5 9.16971e+06 677061 -2.66415e+08 -1.70305e+08
950 15570 0.00228417 1487.89 18810.8 4362.78 824 6.58341e+07 2.95991e+07 285 9.08331e+06 670847 -2.64028e+08 -1.68776e+08
949 15534.5 0.0024343 1487.89 18606 4333.35 824 6.52677e+07 2.93129e+07 277.5 8.99604e+06 667695 -2.61723e+08 -1.673e+08
948 15496.7 0.00197262 1487.89 18571.3 4305.83 824 6.46232e+07 2.91324e+07 285 8.90875e+06 661727 -2.59378e+08 -1.65799e+08
947 15466.2 0.00263349 1487.89 18524.5 4275.55 825 6.40698e+07 2.88475e+07 277.5 8.82046e+06 653836 -2.57114e+08 -1.64349e+08
946 15425.6 0.00228907 1487.89 18299.7 4249.49 824 6.34934e+07 2.86176e+07 285 8.73694e+06 647378 -2.5481e+08 -1.62874e+08
945 15390.4 0.00218565 1487.89 18052.7 4220.98 824 6.29927e+07 2.82954e+07 277.5 8.65301e+06 646282 -2.52586e+08 -1.61449e+08
944 15356.8 0.0022292 1487.89 17857.9 4193.39 824 6.25074e+07 2.79826e+07 285 8.5671e+06 636607 -2.5032e+08 -1.59997e+08
943 15322.7 0.00234781 1487.89 17816.4 4165.03 824 6.18855e+07 2.78011e+07 277.5 8.48416e+06 630147 -2.48135e+08 -1.58597e+08
942 15286.8 0.00242075 1487.89 17625.8 4138.2 824 6.12862e+07 2.76218e+07 285 8.40469e+06 627597 -2.45911e+08 -1.57173e+08
941 15249.9 0.00229407 1487.89 17588.2 4111.21 824 6.07706e+07 2.73397e+07 277.5 8.3211e+06 619874 -2.43764e+08 -1.55798e+08
940 15215 0.00228823 1487.89 17552 4084.4 824 6.03047e+07 2.70419e+07 285 8.24232e+06 617602 -2.41578e+08 -1.54397e+08
939 15180.2 0.00228377 1487.89 17408.4 4057.32 824 5.96569e+07 2.6907e+07 277.5 8.15928e+06 608194 -2.3947e+08 -1.53047e+08
938 15145.6 0.00212186 1487.89 17223.5 4031.31 824 5.92393e+07 2.65757e+07 285 8.08278e+06 604236 -2.37322e+08 -1.5167e+08
937 15113.6 0.00214417 1487.89 17183.3 4003.93 824 5.86527e+07 2.63951e+07 277.5 8.00386e+06 598837 -2.3525e+08 -1.50343e+08
936 15081.2 0.00228245 1487.89 16952.9 3977.68 824 5.81842e+07 2.61245e+07 285 7.92751e+06 592992 -2.33141e+08 -1.48991e+08
935 15046.9 0.00183059 1487.89 16766.5 3951.06 824 5.7612e+07 2.59449e+07 277.5 7.85075e+06 591121 -2.31105e+08 -1.47687e+08
934 15019.4 0.0015982 1487.89 16724.9 3923.79 825 5.70895e+07 2.57379e+07 285 7.77303e+06 583481 -2.29034e+08 -1.4636e+08
933 14995.4 0.00134431 1487.89 16486.3 3895.14 827 5.6534e+07 2.55558e+07 277.5 7.69679e+06 577446 -2.27035e+08 -1.45081e+08
932 14975.3 0.00233824 1487.89 16290.7 3866.07 830 5.5971e+07 2.54055e+07 285 7.62388e+06 572737 -2.25001e+08 -1.43781e+08
931 14940.4 0.00198914 1487.89 16252.5 3840.07 830 5.53904e+07 2.52571e+07 277.5 7.54957e+06 569702 -2.23039e+08 -1.42528e+08
930 14910.7 0.00354358 1487.89 16070.9 3814.06 831 5.49895e+07 2.49524e+07 285 7.47557e+06 561946 -2.21041e+08 -1.4125e+08
929 14858 0.00305128 1487.89 16051.4 3792.72 827 5.44317e+07 2.47973e+07 277.5 7.40338e+06 559587 -2.19114e+08 -1.40019e+08
928 14812.8 0.00237098 1487.89 16029.4 3771.01 824 5.40319e+07 2.45034e+07 285 7.33084e+06 552113 -2.1715e+08 -1.38763e+08
927 14777.8 0.00225978 1487.89 15993.6 3746.1 824 5.36074e+07 2.42276e+07 277.5 7.25994e+06 547981 -2.15255e+08 -1.3755e+08
