#time1 gdp2 growth3 demand4 wages5 price6 employed7 company_capital8 consumer_capital9 interest_rate10 investments11 market_capital12 bank_capital13 total_capital14
457 562797 0.000282897 1.57005e+09 40.6065 0.639275 3858 516209 0 0.0271984 515.255 17229.1 933486 1.46726e+06
456 562638 0.000266655 1.57104e+09 40.4777 0.640364 3858 516541 0 0.0772832 516.133 17178.2 929903 1.46726e+06
455 562488 -3.7435e-05 1.58211e+09 40.6156 0.644046 3858 520175 0 0.0272832 519.101 17355.7 929399 1.46726e+06
454 562509 0.000495855 1.58312e+09 40.8062 0.644997 3858 520502 0 0.0773696 519.868 17294.3 925792 1.46726e+06
453 562230 0.00034804 1.59423e+09 41.2095 0.648868 3858 524170 0 0.0273696 522.988 17468.7 925283 1.46726e+06
452 562034 0.000161783 1.59525e+09 41.1373 0.64999 3858 524504 0 0.0774571 523.892 17419.6 921652 1.46726e+06
451 561944 0.000234238 1.60644e+09 41.5303 0.653677 3858 528185 0 0.0274571 526.864 17592.5 921140 1.46726e+06
450 561812 0.000167831 1.6075e+09 41.556 0.65475 3858 528524 0 0.0775483 527.728 17541.5 917483 1.46726e+06
449 561718 0.000532323 1.61875e+09 41.4873 0.658491 3858 532231 0 0.0275483 530.744 17708.2 916968 1.46726e+06
448 561419 0.000251981 1.61978e+09 41.6122 0.659753 3858 532580 0 0.0776382 531.761 17660.2 913286 1.46726e+06
447 561277 6.14254e-05 1.63114e+09 41.7826 0.663525 3858 536309 0 0.0276382 534.801 17839.6 912768 1.46726e+06
446 561243 0.0003073 1.63219e+09 41.9574 0.664543 3858 536649 0 0.0777294 535.622 17782.5 909061 1.46726e+06
445 561071 0.000405134 1.6436e+09 42.125 0.66842 3858 540413 0 0.0277294 538.747 17957.8 908538 1.46726e+06
444 560843 0.000154891 1.64467e+09 42.1802 0.669608 3858 540760 0 0.0778215 539.704 17908.1 904806 1.46726e+06
443 560756 0.000522649 1.65615e+09 42.4007 0.673424 3858 544542 0 0.0278215 542.779 18079.1 904281 1.46726e+06
442 560464 4.93433e-05 1.65722e+09 42.6837 0.674677 3858 544896 0 0.0779195 543.79 18034.4 900523 1.46726e+06
441 560436 0.000291223 1.66882e+09 42.7667 0.678429 3858 548698 0 0.0279195 546.814 18209.4 899994 1.46726e+06
440 560273 0.000561849 1.66987e+09 42.8625 0.679604 3858 549053 0 0.0780138 547.761 18148.6 896211 1.46726e+06
439 559958 0.000244333 1.68153e+09 42.9729 0.683686 3858 552896 0 0.0280138 551.051 18333.5 895678 1.46726e+06
438 559821 0.000258011 1.68258e+09 42.9107 0.684816 3858 553245 0 0.0781134 551.962 18280 891870 1.46726e+06
437 559677 1.03644e-05 1.69436e+09 43.2258 0.688714 3858 557106 0 0.0281134 555.104 18466.6 891333 1.46726e+06
436 559671 0.000667071 1.69542e+09 43.3491 0.689755 3858 557456 0 0.0782099 555.942 18399 887499 1.46726e+06
435 559298 0.000295219 1.70723e+09 43.5656 0.693958 3858 561358 0 0.0282099 559.331 18587.2 886959 1.46726e+06
434 559133 0.000231237 1.70833e+09 43.5596 0.695139 3858 561710 0 0.0783101 560.282 18533.5 883099 1.46726e+06
433 559004 0.000344921 1.72023e+09 43.7955 0.699122 3858 565623 0 0.0283101 563.493 18715 882556 1.46726e+06
432 558811 0.000467723 1.7213e+09 43.8549 0.700356 3858 565985 0 0.0784103 564.487 18656.4 878670 1.46726e+06
431 558550 6.50728e-05 1.7333e+09 43.9501 0.704483 3858 569929 0 0.0284103 567.813 18850.5 878123 1.46726e+06
430 558513 0.000527699 1.73437e+09 43.9851 0.705543 3858 570283 0 0.0784855 568.668 18785.6 874212 1.46726e+06
429 558219 0.000311112 1.74641e+09 44.3785 0.709749 3858 574259 0 0.0284855 572.057 18979.6 873661 1.46726e+06
428 558045 -4.58133e-05 1.74769e+09 44.3201 0.710908 3858 574616 0 0.0778405 572.991 18928.3 869725 1.46726e+06
427 558071 0.000783582 1.75942e+09 44.6243 0.714981 3858 578603 0 0.0278405 576.275 19056 869172 1.46726e+06
426 557634 3.82179e-05 1.76063e+09 44.8251 0.716199 3858 579028 0 0.0779521 648.876 19088.3 865254 1.46726e+06
425 557612 0.000821339 1.77242e+09 44.9382 0.720366 3858 582914 0 0.0279521 580.615 19179.2 864761 1.46726e+06
424 557155 -3.77547e-05 1.77364e+09 45.0332 0.721643 3858 583315 0 0.0780678 653.808 19215.7 860818 1.46726e+06
423 557176 0.000545721 1.78553e+09 45.3093 0.725742 3858 587222 0 0.0280678 584.948 19308.9 860323 1.46726e+06
422 556872 0.000334305 1.78656e+09 45.4486 0.726873 3858 587625 0 0.0781805 658.547 19338.3 856355 1.46726e+06
421 556686 0.000393606 1.79879e+09 45.6108 0.731008 3858 591563 0 0.0281805 589.193 19494.7 855856 1.46726e+06
420 556467 0.000142475 1.79991e+09 45.593 0.732213 3858 591905 0 0.0782959 590.164 19437 851863 1.46726e+06
419 556388 0.000841087 1.81192e+09 45.8087 0.736512 3858 595956 0 0.0282959 593.629 19567 851361 1.46726e+06
418 555920 -2.2266e-05 1.81315e+09 46.036 0.737827 3858 596328 0 0.0784176 668.472 19606.4 847344 1.46726e+06
417 555932 0.000612338 1.82526e+09 46.2303 0.742015 3858 600306 0 0.0284176 598.064 19703.8 846839 1.46726e+06
416 555592 0.000276053 1.82648e+09 46.1717 0.74318 3858 600713 0 0.0785384 673.321 19731.1 842796 1.46726e+06
415 555439 0.000420339 1.83869e+09 46.4094 0.747576 3858 604729 0 0.0285384 602.546 19838 842288 1.46726e+06
414 555205 0.000490998 1.83991e+09 46.4914 0.748664 3858 605130 0 0.0786575 678.289 19859 838221 1.46726e+06
413 554933 0.000548161 1.85216e+09 46.852 0.753196 3858 609176 0 0.0286575 607.076 19966.3 837710 1.46726e+06
412 554629 5.27946e-05 1.85344e+09 46.7751 0.754333 3858 609580 0 0.0787805 683.426 19999.7 833618 1.46726e+06
411 554600 0.000974213 1.86573e+09 47.118 0.75868 3858 613639 0 0.0287805 611.496 20089.3 833103 1.46726e+06
410 554060 -6.10699e-05 1.86702e+09 47.1333 0.760127 3858 614063 0 0.0789051 688.675 20133.9 828986 1.46726e+06
409 554094 0.000896662 1.87942e+09 47.2353 0.764435 3858 618136 0 0.0289051 616.135 20222.9 828469 1.46726e+06
408 553597 0.000248236 1.88064e+09 47.0619 0.765862 3858 618564 0 0.0790324 693.871 20259.2 824327 1.46726e+06
407 553460 0.000176905 1.89316e+09 47.6765 0.770321 3858 622670 0 0.0290324 620.879 20373.4 823806 1.46726e+06
