#time1 gdp2 growth3 demand4 wages5 price6 employed7 company_capital8 consumer_capital9 interest_rate10 investments11 market_capital12 bank_capital13 total_capital14
340 9324.31 0.0160197 1485 166.353 40.7983 853 471057 140835 315 67888.4 3777.54 38674.5 660311
339 9177.29 0.0149347 1485 163.895 38.2678 853 468514 149345 322.5 67121.7 3481.59 31733.6 659630
338 9042.25 0.0129411 1485 166.391 39.312 853 454593 169822 315 66358.6 3490.54 70265.7 658086
337 8926.73 0.0102803 1485 168.925 40.3276 855 456145 128185 322.5 65653.4 3602.4 63888 656715
336 8835.89 0.0124587 1485 170.811 41.2718 869 457350 131875 337.5 64879.3 3603.56 57288 655457
335 8727.16 0.0131369 1485 173.412 42.3628 872 460862 133703 330 64137.3 3639.3 50445.6 654296
334 8614 0.0129945 1485 176.053 43.5057 873 463129 137081 337.5 63431.3 3699.21 43444.6 653318
333 8503.5 0.0103726 1485 178.734 44.6989 873 465447 140728 330 62712.6 3784.57 36520.3 652478
332 8416.21 0.00450048 1485 180.945 45.81 876 467795 144377 337.5 61980.9 3812.36 29457.2 651815
331 8378.5 0.0121176 1485 178.271 46.7396 869 469774 148771 322.5 61275.6 3868.58 22577.6 651295
330 8278.19 0.0115477 1485 175.636 44.703 871 468058 156791 330 60617.3 3670.71 15661.7 650951
329 8183.68 0.0117942 1485 178.311 45.8281 873 457890 173729 322.5 59943.2 3717.64 44323.3 649954
328 8088.29 0.010747 1485 181.026 46.9829 874 460273 141640 330 59292.5 3760.65 37441.9 649132
327 8002.29 0.00921208 1485 183.783 48.1514 876 462111 145818 337.5 58648.5 3805.77 30679.4 648441
326 7929.24 0.00747645 1485 183.438 49.2893 881 464325 149631 345 58013.5 3865.29 23731.8 647895
325 7870.4 0.0104596 1485 180.727 50.4161 881 466654 153644 337.5 57373.5 3932.51 16650.2 647503
324 7788.93 0.00260964 1485 178.056 50.3974 881 467507 159414 345 56747.5 3917.52 9408.73 647287
323 7768.66 0.0112027 1485 175.425 51.3239 881 463466 170494 337.5 56097 3919.97 15554 646920
322 7682.59 0.00827664 1485 172.832 49.7177 881 462309 165138 345 55534.7 3787.06 8418.17 646727
321 7619.53 0.0093343 1485 170.278 50.8226 884 452854 181667 337.5 54939.3 3832.44 30798.7 646002
320 7549.06 0.00368385 1485 167.762 51.7786 885 454869 156502 345 54367.5 3871.85 23812.8 645453
319 7521.36 0.00989647 1485 165.283 52.7425 884 455213 162555 337.5 53797.4 3944.48 19289.1 644999
318 7447.65 0.0012225 1485 162.84 51.2914 884 453094 168672 345 53240.5 3793.41 12522.2 644711
317 7438.56 0.010758 1485 160.434 52.119 881 444082 184313 337.5 52692.3 3803.67 32445.5 643947
316 7359.38 0.0063977 1485 158.063 49.4991 881 441084 166614 345 52221.5 3616.56 25778.9 643354
315 7312.6 0.00980894 1485 155.727 50.4465 881 429507 184451 337.5 51707.6 3639.18 56564.7 642022
314 7241.57 0.00800493 1485 153.425 50.1362 882 430464 151354 345 51239.2 3592.45 50034.5 640871
313 7184.06 0.00107354 1485 151.158 51.1756 884 425687 161557 337.5 50766.2 3658.64 57106 639526
312 7176.36 0.0117783 1485 148.924 51.9536 877 425694 153068 322.5 50291.1 3668.42 50516.1 638364
311 7092.82 0.00735928 1485 146.723 48.7239 874 422015 162164 330 49893.3 3461.49 44120 637394
